model,write_mode,delay_len,expected_boundary,m_star_mean,m_star_std,m_star_min,m_star_max,n_seeds,uncensored_n,censored_n,max_mem_scanned,stats_scope
gated,prefix-all,10,31,30.14,0.38,30.0,31.0,7,7,0,120,uncensored_seeds_only
gated,prefix-all,20,41,40.0,0.0,40.0,40.0,7,6,1,120,uncensored_seeds_only
gated,prefix-all,40,61,60.17,0.41,60.0,61.0,7,6,1,120,uncensored_seeds_only
gated,prefix-all,80,101,100.57,0.53,100.0,101.0,7,7,0,120,uncensored_seeds_only
gated,source-only,10,20,20.0,0.0,20.0,20.0,7,7,0,30,uncensored_seeds_only
gated,source-only,20,20,20.0,0.0,20.0,20.0,7,7,0,30,uncensored_seeds_only
gated,source-only,40,20,20.0,0.0,20.0,20.0,7,7,0,30,uncensored_seeds_only
gated,source-only,80,20,20.0,0.0,20.0,20.0,7,7,0,30,uncensored_seeds_only
gated,source-pinned-noise-fifo,10,20,20.0,0.0,20.0,20.0,7,7,0,100,uncensored_seeds_only
gated,source-pinned-noise-fifo,20,20,20.0,0.0,20.0,20.0,7,7,0,100,uncensored_seeds_only
gated,source-pinned-noise-fifo,40,20,20.0,0.0,20.0,20.0,7,7,0,100,uncensored_seeds_only
gated,source-pinned-noise-fifo,80,20,20.0,0.0,20.0,20.0,7,7,0,100,uncensored_seeds_only
naive,prefix-all,10,31,30.25,0.5,30.0,31.0,7,4,3,120,uncensored_seeds_only
naive,prefix-all,20,41,40.67,0.58,40.0,41.0,7,3,4,120,uncensored_seeds_only
naive,prefix-all,40,61,61.0,0.0,61.0,61.0,7,5,2,120,uncensored_seeds_only
naive,prefix-all,80,101,100.8,0.45,100.0,101.0,7,5,2,120,uncensored_seeds_only
naive,source-only,10,20,20.0,0.0,20.0,20.0,7,7,0,30,uncensored_seeds_only
naive,source-only,20,20,20.0,0.0,20.0,20.0,7,7,0,30,uncensored_seeds_only
naive,source-only,40,20,20.0,0.0,20.0,20.0,7,7,0,30,uncensored_seeds_only
naive,source-only,80,20,20.0,0.0,20.0,20.0,7,7,0,30,uncensored_seeds_only
naive,source-pinned-noise-fifo,10,20,20.0,0.0,20.0,20.0,7,7,0,100,uncensored_seeds_only
naive,source-pinned-noise-fifo,20,20,20.0,0.0,20.0,20.0,7,7,0,100,uncensored_seeds_only
naive,source-pinned-noise-fifo,40,20,20.0,0.0,20.0,20.0,7,7,0,100,uncensored_seeds_only
naive,source-pinned-noise-fifo,80,20,20.0,0.0,20.0,20.0,7,7,0,100,uncensored_seeds_only
