model,write_mode,delay_len,expected_boundary,tau_0.90,tau_0.95,tau_0.98
gated,prefix-all,10,31,30,30,31
gated,prefix-all,20,41,40,40,41
gated,prefix-all,40,61,60,61,61
gated,prefix-all,80,101,100,101,101
gated,source-only,10,20,20,20,20
gated,source-only,20,20,20,20,20
gated,source-only,40,20,20,20,20
gated,source-only,80,20,20,20,20
gated,source-pinned-noise-fifo,10,20,20,20,20
gated,source-pinned-noise-fifo,20,20,20,20,20
gated,source-pinned-noise-fifo,40,20,20,20,20
gated,source-pinned-noise-fifo,80,20,20,20,20
naive,prefix-all,10,31,30,31,>120
naive,prefix-all,20,41,40,41,>120
naive,prefix-all,40,61,60,61,>120
naive,prefix-all,80,101,100,101,>120
naive,source-only,10,20,20,20,20
naive,source-only,20,20,20,20,20
naive,source-only,40,20,20,20,20
naive,source-only,80,20,20,20,20
naive,source-pinned-noise-fifo,10,20,20,20,20
naive,source-pinned-noise-fifo,20,20,20,20,20
naive,source-pinned-noise-fifo,40,20,20,20,20
naive,source-pinned-noise-fifo,80,20,20,20,20
