model,write_mode,delay_len,tau,m_star,m_star_censored,acc_at_m_star,max_mem_scanned,best_acc_within_scan,best_mem_within_scan,expected_boundary
gated,prefix-all,10,0.95,30,False,0.9609375118528093,120,0.9825535775763647,31,31
gated,prefix-all,20,0.95,40,False,0.95771786906038,120,0.9832080409356526,41,41
gated,prefix-all,40,0.95,61,False,0.9896892909663063,120,0.9896892909663063,61,61
gated,prefix-all,80,0.95,101,False,0.9961008985042572,120,0.9961008985042572,101,101
gated,source-only,10,0.95,20,False,0.9964455404622213,30,0.9964455404622213,20,20
gated,source-only,20,0.95,20,False,0.9959901843411583,30,0.9959901843411583,20,20
gated,source-only,40,0.95,20,False,0.9964901830979755,30,0.9964901830979755,20,20
gated,source-only,80,0.95,20,False,0.9968607177053179,30,0.9968607177053179,20,20
gated,source-pinned-noise-fifo,10,0.95,20,False,0.9964455404622213,100,0.9964455404622213,20,20
gated,source-pinned-noise-fifo,20,0.95,20,False,0.9959901843411583,100,0.9966848254374095,40,20
gated,source-pinned-noise-fifo,40,0.95,20,False,0.9964901830979755,100,0.9967589326075146,30,20
gated,source-pinned-noise-fifo,80,0.95,20,False,0.9968607177053179,100,0.9968607177053179,20,20
naive,prefix-all,10,0.95,31,False,0.9690017940316882,120,0.9690017940316882,31,31
naive,prefix-all,20,0.95,41,False,0.9554669733388083,120,0.9554669733388083,41,41
naive,prefix-all,40,0.95,61,False,0.9760883998359953,120,0.9760883998359953,61,61
naive,prefix-all,80,0.95,101,False,0.9751875087193079,120,0.9751875087193079,101,101
naive,source-only,10,0.95,20,False,0.9956580426182066,30,0.9956580426182066,20,20
naive,source-only,20,0.95,20,False,0.9958366130931037,30,0.9958366130931037,20,20
naive,source-only,40,0.95,20,False,0.9960446487835475,30,0.9960446487835475,20,20
naive,source-only,80,0.95,20,False,0.9960062556947981,30,0.9960062556947981,20,20
naive,source-pinned-noise-fifo,10,0.95,20,False,0.9956580426182066,100,0.995817863379206,30,20
naive,source-pinned-noise-fifo,20,0.95,20,False,0.9958366130931037,100,0.9959598271846771,25,20
naive,source-pinned-noise-fifo,40,0.95,20,False,0.9960446487835475,100,0.9961107201405933,30,20
naive,source-pinned-noise-fifo,80,0.95,20,False,0.9960062556947981,100,0.9960062556947981,20,20
