model,write_mode,delay_len,max_mem,metric,mean,std,min,max,n_seeds
gated,prefix-all,40,50,acc_mean_tail,0.7386214401551656,0.0252739788472072,0.7163875116109848,0.7661062617301941,7
gated,prefix-all,40,50,attn_entropy,0.01485837762343827,0.009938748093017445,0.0095854184473864,0.0369420901406556,7
gated,prefix-all,40,50,attn_mass_noise,0.2215582511520811,0.026713741213630966,0.2000559084117412,0.2501614969223737,7
gated,prefix-all,40,50,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,50,attn_mass_sep,0.07752317140278,0.025885222379207193,0.0499276916962116,0.1001037722453475,7
gated,prefix-all,40,50,attn_mass_source,0.7009186031562942,0.0027731273853411256,0.6996509283781052,0.7072030492126942,7
gated,prefix-all,40,50,err_both_source_and_noise_rate,0.8696011661680562,0.013249474946924083,0.8562140945592955,0.8905355768833985,7
gated,prefix-all,40,50,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,50,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,50,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,50,err_source_only_rate,0.1303988338319438,0.013249474946924128,0.1094644231166014,0.1437859054407046,7
gated,prefix-all,40,50,eval_acc,0.746791305818728,0.025175838728589132,0.7195312567055225,0.772851575165987,7
gated,prefix-all,40,50,eval_error_rate,0.25320870535714285,0.025175838612023223,0.2271484375,0.28046875,7
gated,prefix-all,40,50,mem_noise_entries,40.0,0.0,40.0,40.0,7
gated,prefix-all,40,50,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,40,50,mem_source_entries,9.0,0.0,9.0,9.0,7
gated,prefix-all,40,50,source_survival_rate,0.45,0.0,0.45,0.45,7
gated,prefix-all,40,60,acc_mean_tail,0.9497169753823961,0.019459074126342436,0.9199812628030776,0.9725812615156174,7
gated,prefix-all,40,60,attn_entropy,0.1234769649537546,0.026205068189924876,0.0891102151945233,0.1619458431378007,7
gated,prefix-all,40,60,attn_mass_noise,0.21630276478166313,0.10378991682935458,5.5341376310025225e-05,0.3000318668782711,7
gated,prefix-all,40,60,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,60,attn_mass_sep,0.04810335946873064,0.029741454763251282,1.1446470189468982e-06,0.1012785234488546,7
gated,prefix-all,40,60,attn_mass_source,0.7355938968913895,0.1214601060963456,0.6499976962804794,0.9999435245990752,7
gated,prefix-all,40,60,err_both_source_and_noise_rate,0.8437875333009538,0.03509113286050098,0.8034403096903098,0.8903450715950718,7
gated,prefix-all,40,60,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,60,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,60,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,60,err_source_only_rate,0.12942675241333185,0.036993927916553364,0.0729166666666666,0.1965596903096902,7
gated,prefix-all,40,60,eval_acc,0.9707589431532792,0.02064707274117299,0.9451171979308128,0.9933593906462193,7
gated,prefix-all,40,60,eval_error_rate,0.0292410714285714,0.020647070059602403,0.006640625,0.0548828125,7
gated,prefix-all,40,60,mem_noise_entries,40.0,0.0,40.0,40.0,7
gated,prefix-all,40,60,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,40,60,mem_source_entries,19.0,0.0,19.0,19.0,7
gated,prefix-all,40,60,source_survival_rate,0.95,0.0,0.95,0.95,7
gated,prefix-all,40,61,acc_mean_tail,0.9896892909663063,0.01793352192345399,0.9490250084400176,0.996937503695488,7
gated,prefix-all,40,61,attn_entropy,0.09256817842833695,0.045387745672262114,0.0201925355941057,0.1325272740796208,7
gated,prefix-all,40,61,attn_mass_noise,0.20694275866066744,0.10546904771173875,1.5115398241505318e-05,0.2994801327586174,7
gated,prefix-all,40,61,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,61,attn_mass_sep,0.05003272304868132,0.028863409857290648,1.251803882951208e-05,0.0999982128851115,7
gated,prefix-all,40,61,attn_mass_source,0.7430245423955577,0.12369896661654728,0.6504509747028351,0.9999724067747592,7
gated,prefix-all,40,61,err_both_source_and_noise_rate,0.13297480049712193,0.32509384475601616,0.0,0.8683236034798536,7
gated,prefix-all,40,61,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,61,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,61,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,61,err_source_only_rate,0.01881091378859236,0.049768999818491214,0.0,0.1316763965201465,7
gated,prefix-all,40,61,eval_acc,0.993219865752118,0.01785257241889683,0.952734373509884,1.0,7
gated,prefix-all,40,61,eval_error_rate,0.006780133928571429,0.01785257190149234,0.0,0.047265625,7
gated,prefix-all,40,61,mem_noise_entries,40.0,0.0,40.0,40.0,7
gated,prefix-all,40,61,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,40,61,mem_source_entries,20.0,0.0,20.0,20.0,7
gated,prefix-all,40,61,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,prefix-all,40,62,acc_mean_tail,0.9896892909663063,0.01793352192345399,0.9490250084400176,0.996937503695488,7
gated,prefix-all,40,62,attn_entropy,0.09256817842833695,0.045387745672262114,0.0201925355941057,0.1325272740796208,7
gated,prefix-all,40,62,attn_mass_noise,0.20694275866066744,0.10546904771173875,1.5115398241505318e-05,0.2994801327586174,7
gated,prefix-all,40,62,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,62,attn_mass_sep,0.05003272304868132,0.028863409857290648,1.251803882951208e-05,0.0999982128851115,7
gated,prefix-all,40,62,attn_mass_source,0.7430245423955577,0.12369896661654728,0.6504509747028351,0.9999724067747592,7
gated,prefix-all,40,62,err_both_source_and_noise_rate,0.13297480049712193,0.32509384475601616,0.0,0.8683236034798536,7
gated,prefix-all,40,62,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,62,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,62,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,62,err_source_only_rate,0.01881091378859236,0.049768999818491214,0.0,0.1316763965201465,7
gated,prefix-all,40,62,eval_acc,0.993219865752118,0.01785257241889683,0.952734373509884,1.0,7
gated,prefix-all,40,62,eval_error_rate,0.006780133928571429,0.01785257190149234,0.0,0.047265625,7
gated,prefix-all,40,62,mem_noise_entries,40.0,0.0,40.0,40.0,7
gated,prefix-all,40,62,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,40,62,mem_source_entries,20.0,0.0,20.0,20.0,7
gated,prefix-all,40,62,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,prefix-all,40,70,acc_mean_tail,0.9896892909663063,0.01793352192345399,0.9490250084400176,0.996937503695488,7
gated,prefix-all,40,70,attn_entropy,0.09256817842833695,0.045387745672262114,0.0201925355941057,0.1325272740796208,7
gated,prefix-all,40,70,attn_mass_noise,0.20694275866066744,0.10546904771173875,1.5115398241505318e-05,0.2994801327586174,7
gated,prefix-all,40,70,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,70,attn_mass_sep,0.05003272304868132,0.028863409857290648,1.251803882951208e-05,0.0999982128851115,7
gated,prefix-all,40,70,attn_mass_source,0.7430245423955577,0.12369896661654728,0.6504509747028351,0.9999724067747592,7
gated,prefix-all,40,70,err_both_source_and_noise_rate,0.13297480049712193,0.32509384475601616,0.0,0.8683236034798536,7
gated,prefix-all,40,70,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,70,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,70,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,40,70,err_source_only_rate,0.01881091378859236,0.049768999818491214,0.0,0.1316763965201465,7
gated,prefix-all,40,70,eval_acc,0.993219865752118,0.01785257241889683,0.952734373509884,1.0,7
gated,prefix-all,40,70,eval_error_rate,0.006780133928571429,0.01785257190149234,0.0,0.047265625,7
gated,prefix-all,40,70,mem_noise_entries,40.0,0.0,40.0,40.0,7
gated,prefix-all,40,70,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,40,70,mem_source_entries,20.0,0.0,20.0,20.0,7
gated,prefix-all,40,70,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,prefix-all,80,80,acc_mean_tail,0.14055000242697338,0.06575114131211175,0.0902812516391277,0.2744250054657459,7
gated,prefix-all,80,80,attn_entropy,3.1680059411696027,0.4454546286648196,2.238143891096115,3.503477320075035,7
gated,prefix-all,80,80,attn_mass_noise,1.0,0.0,1.0,1.0,7
gated,prefix-all,80,80,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,attn_mass_source,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,err_both_source_and_noise_rate,0.7157386077436937,0.06440061391676018,0.6025406776362826,0.8157295895449229,7
gated,prefix-all,80,80,err_noise_only_rate,0.2708500502205435,0.06453722561759727,0.1696141324259435,0.3779066296305051,7
gated,prefix-all,80,80,err_other_rate,0.004779124606398742,0.003039612127107018,0.0,0.0088210479047591,7
gated,prefix-all,80,80,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,err_source_only_rate,0.00863221742936397,0.003918834040966601,0.0035743208232408,0.0127530363420829,7
gated,prefix-all,80,80,eval_acc,0.19048549474350038,0.0991118564959272,0.1056640646420419,0.3361328169703483,7
gated,prefix-all,80,80,eval_error_rate,0.8095145089285715,0.09911185457541476,0.6638671875,0.8943359375000002,7
gated,prefix-all,80,80,mem_noise_entries,80.0,0.0,80.0,80.0,7
gated,prefix-all,80,80,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,mem_source_entries,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,source_survival_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,100,acc_mean_tail,0.9384053689411708,0.025820194628532873,0.9080000120401382,0.9710812621116638,7
gated,prefix-all,80,100,attn_entropy,0.13216491735407282,0.028344247178506303,0.0907879117876291,0.1610167799517512,7
gated,prefix-all,80,100,attn_mass_noise,0.17640571509088784,0.036167264741562934,0.1002335716038942,0.2000258974730968,7
