model,delay_len,noise_write_ratio,expected_non_source_writes,expected_boundary,m_star,m_star_plot,censored,max_scanned,acc_at_m_star
gated,20,0.0,1,21,20.0,20,False,41,0.9658285831553596
gated,20,0.25,6,26,26.0,26,False,46,0.9561267940487183
gated,20,0.5,11,31,31.0,31,False,51,0.9764392916815622
gated,20,0.75,16,36,36.0,36,False,56,0.9698196496452605
gated,20,1.0,21,41,40.0,40,False,61,0.95771786906038
gated,40,0.0,1,21,20.0,20,False,41,0.9541785832643509
gated,40,0.25,11,31,31.0,31,False,51,0.9828857204914093
gated,40,0.5,21,41,41.0,41,False,61,0.9656901853595461
gated,40,0.75,31,51,51.0,51,False,71,0.9895500057765415
gated,40,1.0,41,61,61.0,61,False,81,0.9896892909663063
gated,80,0.0,1,21,20.0,20,False,41,0.9687464406149727
gated,80,0.25,21,41,41.0,41,False,61,0.9709642935991287
gated,80,0.5,41,61,61.0,61,False,81,0.9843803641796113
gated,80,0.75,61,81,80.0,80,False,101,0.9549464400666101
gated,80,1.0,81,101,101.0,101,False,121,0.9961008985042572
naive,20,0.0,1,21,,41,True,41,
naive,20,0.25,6,26,,46,True,46,
naive,20,0.5,11,31,31.0,31,False,51,0.9814044731514794
naive,20,0.75,16,36,36.0,36,False,56,0.9540223331792015
naive,20,1.0,21,41,41.0,41,False,61,0.9554669733388083
naive,40,0.0,1,21,,41,True,41,
naive,40,0.25,11,31,31.0,31,False,51,0.9826759004252298
naive,40,0.5,21,41,41.0,41,False,61,0.9894741134643554
naive,40,0.75,31,51,51.0,51,False,71,0.99555536372321
naive,40,1.0,41,61,61.0,61,False,81,0.9760883998359953
naive,80,0.0,1,21,,41,True,41,
naive,80,0.25,21,41,41.0,41,False,61,0.9956107202598028
naive,80,0.5,41,61,61.0,61,False,81,0.9963892907415118
naive,80,0.75,61,81,81.0,81,False,101,0.9954312566178185
naive,80,1.0,81,101,101.0,101,False,121,0.9751875087193079
