model,delay_len,noise_write_ratio,max_mem,expected_non_source_writes,expected_boundary,acc_mean,acc_std,num_seeds
gated,20,0.0,10,1,21,0.5343339406592506,0.0008157378201163396,7
gated,20,0.0,19,1,21,0.9326241188049317,0.015456366739024037,7
gated,20,0.0,20,1,21,0.9658285831553596,0.002053363500570877,7
gated,20,0.0,21,1,21,0.9966758963380541,0.00045654001666654435,7
gated,20,0.0,22,1,21,0.9966758963380541,0.00045654001666654435,7
gated,20,0.0,23,1,21,0.9966758963380541,0.00045654001666654435,7
gated,20,0.0,31,1,21,0.9966758963380541,0.00045654001666654435,7
gated,20,0.0,41,1,21,0.9966758963380541,0.00045654001666654435,7
gated,20,0.25,10,6,26,0.4464508998777185,0.09199611287510424,7
gated,20,0.25,20,6,26,0.9478357261589595,0.0006680551716823632,7
gated,20,0.25,24,6,26,0.8783250117983137,0.020574526013485177,7
gated,20,0.25,25,6,26,0.9202759043489184,0.021086197909124183,7
gated,20,0.25,26,6,26,0.9561267940487183,0.01769586964897215,7
gated,20,0.25,27,6,26,0.9561267940487183,0.01769586964897215,7
gated,20,0.25,28,6,26,0.9561267940487183,0.01769586964897215,7
gated,20,0.25,36,6,26,0.9561267940487183,0.01769586964897215,7
gated,20,0.25,46,6,26,0.9561267940487183,0.01769586964897215,7
gated,20,0.5,10,11,31,0.3429866128904479,0.0630162234163824,7
gated,20,0.5,20,11,31,0.7334616186618804,0.10729805795297118,7
gated,20,0.5,29,11,31,0.8952991186891283,0.029073714096736505,7
gated,20,0.5,30,11,31,0.9481214402232852,0.02103048859008873,7
gated,20,0.5,31,11,31,0.9764392916815622,0.02533127824733214,7
gated,20,0.5,32,11,31,0.9764392916815622,0.02533127824733214,7
gated,20,0.5,33,11,31,0.9764392916815622,0.02533127824733214,7
gated,20,0.5,41,11,31,0.9764392916815622,0.02533127824733214,7
gated,20,0.5,51,11,31,0.9764392916815622,0.02533127824733214,7
gated,20,0.75,10,16,36,0.10993750156675064,0.0035213097798035696,7
gated,20,0.75,20,16,36,0.31580625582592825,0.0012116889650713365,7
gated,20,0.75,34,16,36,0.9117607263837542,0.028695427233234032,7
gated,20,0.75,35,16,36,0.9449035833563124,0.033674917896497944,7
gated,20,0.75,36,16,36,0.9698196496452605,0.03640422122876231,7
gated,20,0.75,37,16,36,0.9698196496452605,0.03640422122876231,7
gated,20,0.75,38,16,36,0.9698196496452605,0.03640422122876231,7
gated,20,0.75,46,16,36,0.9698196496452605,0.03640422122876231,7
gated,20,0.75,56,16,36,0.9698196496452605,0.03640422122876231,7
gated,20,1.0,10,21,41,0.0501053580482091,0.000668403628066409,7
gated,20,1.0,20,21,41,0.2957803619525262,0.09031311644329247,7
gated,20,1.0,39,21,41,0.9157044761521477,0.013087562257609611,7
gated,20,1.0,40,21,41,0.95771786906038,0.016697083381336575,7
gated,20,1.0,41,21,41,0.9832080409356526,0.023000236959121994,7
gated,20,1.0,42,21,41,0.9832080409356526,0.023000236959121994,7
gated,20,1.0,43,21,41,0.9832080409356526,0.023000236959121994,7
gated,20,1.0,51,21,41,0.9832080409356526,0.023000236959121994,7
gated,20,1.0,61,21,41,0.9832080409356526,0.023000236959121994,7
gated,40,0.0,10,1,21,0.5332366191148757,0.002382303509110557,7
gated,40,0.0,19,1,21,0.9268348335368294,0.014365503259032316,7
gated,40,0.0,20,1,21,0.9541785832643509,0.01810587750951842,7
gated,40,0.0,21,1,21,0.996960717354502,0.00018818336321150744,7
gated,40,0.0,22,1,21,0.996960717354502,0.00018818336321150744,7
gated,40,0.0,23,1,21,0.996960717354502,0.00018818336321150744,7
gated,40,0.0,31,1,21,0.996960717354502,0.00018818336321150744,7
gated,40,0.0,41,1,21,0.996960717354502,0.00018818336321150744,7
gated,40,0.25,10,11,31,0.34915982743671964,0.030095580369145305,7
gated,40,0.25,20,11,31,0.7189062615462712,0.10325604819146159,7
gated,40,0.25,29,11,31,0.9248803691012518,0.016261476826454676,7
gated,40,0.25,30,11,31,0.9477026901756014,0.03708058286650874,7
gated,40,0.25,31,11,31,0.9828857204914093,0.03540682455196876,7
gated,40,0.25,32,11,31,0.9828857204914093,0.03540682455196876,7
gated,40,0.25,33,11,31,0.9828857204914093,0.03540682455196876,7
gated,40,0.25,41,11,31,0.9828857204914093,0.03540682455196876,7
gated,40,0.25,51,11,31,0.9828857204914093,0.03540682455196876,7
gated,40,0.5,10,21,41,0.04987232231109266,0.0005478278197887378,7
gated,40,0.5,20,21,41,0.28683750492334364,0.12483639296041166,7
gated,40,0.5,39,21,41,0.8926937617233822,0.04028446482993004,7
gated,40,0.5,40,21,41,0.9273625115496771,0.029771838424056594,7
gated,40,0.5,41,21,41,0.9656901853595461,0.030446022304040643,7
gated,40,0.5,42,21,41,0.9656901853595461,0.030446022304040643,7
gated,40,0.5,43,21,41,0.9656901853595461,0.030446022304040643,7
gated,40,0.5,51,21,41,0.9656901853595461,0.030446022304040643,7
gated,40,0.5,61,21,41,0.9656901853595461,0.030446022304040643,7
gated,40,0.75,10,31,51,0.049825000891728,0.0005959717298363632,7
gated,40,0.75,20,31,51,0.049785715173397686,0.0005915828236281192,7
gated,40,0.75,49,31,51,0.8972259049585888,0.02833562182639314,7
gated,40,0.75,50,31,51,0.9479330471072879,0.024093479671029622,7
gated,40,0.75,51,31,51,0.9895500057765415,0.017672538994286544,7
gated,40,0.75,52,31,51,0.9895500057765415,0.017672538994286544,7
gated,40,0.75,53,31,51,0.9895500057765415,0.017672538994286544,7
gated,40,0.75,61,31,51,0.9895500057765415,0.017672538994286544,7
gated,40,0.75,71,31,51,0.9895500057765415,0.017672538994286544,7
gated,40,1.0,10,41,61,0.04989642948151694,0.00044442227576424383,7
gated,40,1.0,20,41,61,0.04997410803767183,0.000718916943150604,7
gated,40,1.0,59,41,61,0.896176797594343,0.044373823948458194,7
gated,40,1.0,60,41,61,0.9497169753823961,0.019459074126342436,7
gated,40,1.0,61,41,61,0.9896892909663063,0.01793352192345399,7
gated,40,1.0,62,41,61,0.9896892909663063,0.01793352192345399,7
gated,40,1.0,63,41,61,0.9896892909663063,0.01793352192345399,7
gated,40,1.0,71,41,61,0.9896892909663063,0.01793352192345399,7
gated,40,1.0,81,41,61,0.9896892909663063,0.01793352192345399,7
gated,80,0.0,10,1,21,0.5335839402845928,0.00212926564287319,7
gated,80,0.0,19,1,21,0.9402464397123882,0.01072382130842717,7
gated,80,0.0,20,1,21,0.9687464406149727,0.003554380594603705,7
gated,80,0.0,21,1,21,0.996993753535407,0.0005968109904179979,7
gated,80,0.0,22,1,21,0.996993753535407,0.0005968109904179979,7
gated,80,0.0,23,1,21,0.996993753535407,0.0005968109904179979,7
gated,80,0.0,31,1,21,0.996993753535407,0.0005968109904179979,7
gated,80,0.0,41,1,21,0.996993753535407,0.0005968109904179979,7
gated,80,0.25,10,21,41,0.050212500878210546,0.0004044833561480343,7
gated,80,0.25,20,21,41,0.2694312549276011,0.09109426804236515,7
gated,80,0.25,39,21,41,0.9102348333767482,0.040986390495755386,7
gated,80,0.25,40,21,41,0.9411455473218646,0.02889077326866528,7
gated,80,0.25,41,21,41,0.9709642935991287,0.03579918960159878,7
gated,80,0.25,42,21,41,0.9709642935991287,0.03579918960159878,7
gated,80,0.25,43,21,41,0.9709642935991287,0.03579918960159878,7
gated,80,0.25,51,21,41,0.9709642935991287,0.03579918960159878,7
gated,80,0.25,61,21,41,0.9709642935991287,0.03579918960159878,7
gated,80,0.5,10,41,61,0.050389286567856115,0.0005715671359106307,7
gated,80,0.5,20,41,61,0.0502955365856843,0.0003080033326995254,7
gated,80,0.5,59,41,61,0.881042868920735,0.04036052017597613,7
gated,80,0.5,60,41,61,0.9464598329918725,0.022227871096040807,7
gated,80,0.5,61,41,61,0.9843803641796113,0.030202184776598685,7
gated,80,0.5,62,41,61,0.9843803641796113,0.030202184776598685,7
gated,80,0.5,63,41,61,0.9843803641796113,0.030202184776598685,7
gated,80,0.5,71,41,61,0.9843803641796113,0.030202184776598685,7
gated,80,0.5,81,41,61,0.9843803641796113,0.030202184776598685,7
gated,80,0.75,10,61,81,0.05033660805810768,0.00044595151963842386,7
gated,80,0.75,20,61,81,0.05027321522789339,0.0006924792778328607,7
