model,delay_len,noise_write_ratio,expected_non_source_writes,expected_boundary,mean,std,min,max,uncensored_n,censored_n,total_seeds,max_scanned
gated,20,0.0,1,21,20.0,0.0,20.0,20.0,7,0,7,41
gated,20,0.25,6,26,25.5,0.7071067811865476,25.0,26.0,2,5,7,46
gated,20,0.5,11,31,30.0,0.0,30.0,30.0,4,3,7,51
gated,20,0.75,16,36,35.0,0.0,35.0,35.0,5,2,7,56
gated,20,1.0,21,41,40.0,0.0,40.0,40.0,6,1,7,61
gated,40,0.0,1,21,20.285714285714285,0.48795003647426616,20.0,21.0,7,0,7,41
gated,40,0.25,11,31,30.0,0.0,30.0,30.0,6,1,7,51
gated,40,0.5,21,41,40.0,0.0,40.0,40.0,3,4,7,61
gated,40,0.75,31,51,50.166666666666664,0.4082482904638636,50.0,51.0,6,1,7,71
gated,40,1.0,41,61,60.166666666666664,0.40824829046386313,60.0,61.0,6,1,7,81
gated,80,0.0,1,21,20.0,0.0,20.0,20.0,7,0,7,41
gated,80,0.25,21,41,40.2,0.44721359549995815,40.0,41.0,5,2,7,61
gated,80,0.5,41,61,60.0,0.0,60.0,60.0,6,1,7,81
gated,80,0.75,61,81,80.0,0.0,80.0,80.0,6,1,7,101
gated,80,1.0,81,101,100.57142857142857,0.534522483824848,100.0,101.0,7,0,7,121
naive,20,0.0,1,21,21.0,,21.0,21.0,1,6,7,41
naive,20,0.25,6,26,,,,,0,7,7,46
naive,20,0.5,11,31,31.0,0.0,31.0,31.0,5,2,7,51
naive,20,0.75,16,36,35.333333333333336,0.5773502691896263,35.0,36.0,3,4,7,56
naive,20,1.0,21,41,40.666666666666664,0.5773502691896247,40.0,41.0,3,4,7,61
naive,40,0.0,1,21,21.0,,21.0,21.0,1,6,7,41
naive,40,0.25,11,31,30.8,0.44721359549995765,30.0,31.0,5,2,7,51
naive,40,0.5,21,41,41.0,0.0,41.0,41.0,7,0,7,61
naive,40,0.75,31,51,50.857142857142854,0.37796447300922653,50.0,51.0,7,0,7,71
naive,40,1.0,41,61,61.0,0.0,61.0,61.0,5,2,7,81
naive,80,0.0,1,21,21.0,0.0,21.0,21.0,2,5,7,41
naive,80,0.25,21,41,40.857142857142854,0.37796447300922653,40.0,41.0,7,0,7,61
naive,80,0.5,41,61,61.0,0.0,61.0,61.0,7,0,7,81
naive,80,0.75,61,81,81.0,0.0,81.0,81.0,7,0,7,101
naive,80,1.0,81,101,100.8,0.44721359549995715,100.0,101.0,5,2,7,121
