model,write_mode,delay_len,tau,m_star,censored,max_scanned,expected_boundary
gated,prefix-all,20,0.95,39.0,False,61,41
gated,prefix-all,40,0.95,,True,81,61
gated,prefix-all,80,0.95,,True,121,101
gated,source-only,20,0.95,20.0,False,30,20
gated,source-only,40,0.95,20.0,False,30,20
gated,source-only,80,0.95,20.0,False,30,20
gated,source-pinned-noise-fifo,20,0.95,20.0,False,100,20
gated,source-pinned-noise-fifo,40,0.95,20.0,False,100,20
gated,source-pinned-noise-fifo,80,0.95,20.0,False,100,20
naive,prefix-all,20,0.95,,True,61,41
naive,prefix-all,40,0.95,,True,81,61
naive,prefix-all,80,0.95,,True,121,101
naive,source-only,20,0.95,20.0,False,30,20
naive,source-only,40,0.95,20.0,False,30,20
naive,source-only,80,0.95,20.0,False,30,20
naive,source-pinned-noise-fifo,20,0.95,20.0,False,100,20
naive,source-pinned-noise-fifo,40,0.95,20.0,False,100,20
naive,source-pinned-noise-fifo,80,0.95,20.0,False,100,20
