model,write_mode,delay_len,mean,std,min,max,uncensored_n,censored_n,total_seeds,max_scanned
gated,prefix-all,20,39.0,0.0,39.0,39.0,6,1,7,61
gated,prefix-all,40,60.0,0.7071067811865476,59.0,61.0,5,2,7,81
gated,prefix-all,80,99.6,0.8944271909999157,99.0,101.0,5,2,7,121
gated,source-only,20,19.285714285714285,1.889822365046136,15.0,20.0,7,0,7,30
gated,source-only,40,20.0,0.0,20.0,20.0,7,0,7,30
gated,source-only,80,20.0,0.0,20.0,20.0,7,0,7,30
gated,source-pinned-noise-fifo,20,20.0,0.0,20.0,20.0,7,0,7,100
gated,source-pinned-noise-fifo,40,20.0,0.0,20.0,20.0,7,0,7,100
gated,source-pinned-noise-fifo,80,20.0,0.0,20.0,20.0,7,0,7,100
naive,prefix-all,20,39.0,,39.0,39.0,1,6,7,61
naive,prefix-all,40,60.0,1.4142135623730951,59.0,61.0,2,5,7,81
naive,prefix-all,80,99.0,0.0,99.0,99.0,2,5,7,121
naive,source-only,20,20.0,0.0,20.0,20.0,7,0,7,30
naive,source-only,40,19.285714285714285,1.889822365046136,15.0,20.0,7,0,7,30
naive,source-only,80,20.0,0.0,20.0,20.0,7,0,7,30
naive,source-pinned-noise-fifo,20,20.0,0.0,20.0,20.0,7,0,7,100
naive,source-pinned-noise-fifo,40,20.0,0.0,20.0,20.0,7,0,7,100
naive,source-pinned-noise-fifo,80,20.0,0.0,20.0,20.0,7,0,7,100
